category_l1,category_l2,similar
housewares,kitchen,consumable:0.4;kitchen:0.3;salon:0.2;camping:0.3;kayaking:0.3;fishing:0.3
housewares,salon,consumable:0.4;kitchen:0.3;salon:0.2;camping:0.3;kayaking:0.3;fishing:0.3
instruments,keys,strings:0.4;percussion:0.3;microphone:0.2
instruments,microphone,strings:0.3;keys:0.3
instruments,percussion,strings:0.2;keys:0.2
instruments,strings,keys:0.4;microphone:0.3;wind:0.2
instruments,wind,strings:0.4;microphone:0.3
jewelry,bracelet,earrings:0.4;necklace:0.3;handbag:0.3;grooming:0.3;bathing:0.2
jewelry,earrings,bracelet:0.4;necklace:0.3;handbag:0.3;grooming:0.3;bathing:0.2
jewelry,necklace,earrings:0.4;bracelet:0.3;handbag:0.3;grooming:0.3;bathing:0.2
outdoors,camping,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
outdoors,fishing,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
outdoors,kayaking,fountain-carbonated:0.4;fountain-non-carbonated:0.3
outdoors,pet,fishing:0.3
salty snacks,nuts/seeds,fountain-carbonated:0.4;fountain-non-carbonated:0.3;pizza:0.3;nachos:0.2
salty snacks,potato chips,fountain-carbonated:0.4;fountain-non-carbonated:0.3;pizza:0.3;nachos:0.2
seasonal,christmas,halloween:0.3
seasonal,easter,christmas:0.3
seasonal,halloween,christmas:0.3
seasonal,valentine,potato chips:0.4;fountain-carbonated:0.4;fountain-non-carbonated:0.3;pizza:0.3;nachos:0.2
tools,axe,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,drill,axe:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,hammer,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,knife,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,plier,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,saw,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,screwdriver,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,set,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
tools,wrench,drill:0.3;fountain-carbonated:0.4;fountain-non-carbonated:0.3;set:0.3;axe:0.2 
