category_l1,category_l2,search_terms
accessories,glasses,dandyish glasses men
accessories,watch,men
accessories,backpack,saddle brown backpack
accessories,backpack,pink
accessories,bag,bag women
apparel,shirt,slate
instruments,microphone,microphone
apparel,scarf,sans pareil
furniture,chairs,unsurpassed beige
furniture,chairs,
floral,arrangement,"roses arrangement,farms"
housewares,bowls,dazzling ceramic bowl
beauty,grooming,witchcraft science
furniture,chairs,definitive light
furniture,tables,light gray accent table
furniture,tables,"productivity,light"
footwear,boot,pair black boots
footwear,boot,unrivaled pair
homedecor,cushion,dark gray square cushion
homedecor,cushion,tan square cushion
apparel,socks,dapper colorful socks
apparel,socks,athletic socks
footwear,formal,"pair,rosy-brown formal shoes"
footwear,sandals,"supercool pair sandals,men"
housewares,bowls,stylish aluminum bowl
accessories,glasses,groovy
accessories,glasses,"sassy glasses,women"
groceries,bakery,tasty apple pie
groceries,fruits,tasty fruit everyone
outdoors,fishing,dependable fishing reel
accessories,backpack,burlywood backpack
books,travel,"plan,next trip essential reference book"
furniture,dressers,"unsurpassed dresser,one drawer"
furniture,dressers,"outstanding dresser,two drawers"
furniture,sofas,enjoy
furniture,sofas,soft
furniture,sofas,luxurious dark gray sofa
salty snacks,nuts/seeds,eating
furniture,tables,definitive rosy-brown dining table
instruments,strings,electric bass
jewelry,bracelet,groovy
footwear,sneaker,light steel blue sneakers
footwear,sneaker,"pair,pale gray sneakers"
footwear,sneaker,dandyish pair green sneakers
footwear,sneaker,swell pair crimson sneakers
footwear,boot,black boots
footwear,boot,ideal pair
footwear,formal,red formal shoes
groceries,seafood,oysters
groceries,seafood,flavorful farmed salmon
homedecor,cushion,red rectangular cushion
seasonal,valentine,sure order
apparel,shirt,funky dressy
apparel,jacket,warm casual coat women
apparel,jacket,warm casual coat men
jewelry,earrings,earrings women
jewelry,necklace,first-class necklace
accessories,handbag,dark gray handbag
accessories,handbag,tomato red handbag
accessories,backpack,tan backpack
accessories,bag,dark slate blue bag women
accessories,bag,canvas leather bag women
accessories,bag,sienna bag men
accessories,belt,swell
apparel,scarf,"funky,women"
apparel,scarf,first-class scarf
instruments,percussion,"drum,set perfect"
floral,arrangement,tulips arrangement
beauty,grooming,blush brush something
footwear,sandals,"dandyish pair sandals,men"
footwear,sneaker,"vibrant pair,dark olive green sneakers"
furniture,chairs,comfy
furniture,chairs,cool dark
furniture,tables,wooden accent table
furniture,tables,definitive tan dining table
floral,plant,drought-resistant indoor plant
outdoors,fishing,unsurpassed fishing
homedecor,clock,wall clock
homedecor,cushion,"gainsboro,cushion"
accessories,handbag,"leather handbag,every day"
accessories,watch,sassy
accessories,glasses,"cool glasses,women"
accessories,glasses,"groovy glasses,women"
accessories,handbag,casual handbag
groceries,bakery,delicious cream cake
groceries,bakery,delicious lemon cake
jewelry,necklace,spiffy necklace women
jewelry,necklace,flawless
accessories,backpack,red backpack women
accessories,backpack,trendy backpack
accessories,belt,spiffy belt women
footwear,formal,"pair,dark red formal shoes"
books,cooking,"learn cook,thai cuisine"
electronics,camera,video camera
electronics,computer,laptop
furniture,chairs,incomparable black
furniture,sofas,upscale dark slate
furniture,sofas,outstanding
furniture,sofas,rich sienna sofa
furniture,sofas,rich black sofa
furniture,tables,fashionable gainsboro accent table
jewelry,bracelet,dandyish
groceries,seafood,flavorful oysters
groceries,vegetables,pantry
groceries,vegetables,flavorful veggie must-
housewares,bowls,luxurious ceramic bowl
jewelry,earrings,groovy earrings
jewelry,necklace,outstanding
outdoors,camping,"camping,bottle must"
outdoors,camping,camping tent
homedecor,lighting,hanging lamp must
homedecor,lighting,table lamp must
footwear,sneaker,all-around venturous
floral,plant,indoor plant
floral,wreath,fall wreath
footwear,boot,unsurpassed pair
apparel,shirt,fashionable dressy white shirt
apparel,socks,ultracool
footwear,formal,black wedges
footwear,sandals,supercool pair
accessories,watch,trendy watch women
apparel,jacket,warm casual jacket women
apparel,jacket,warm
apparel,jacket,dark red jacket
accessories,backpack,peru-orange backpack
accessories,backpack,backpack
accessories,bag,peru-orange bag men
furniture,sofas,
furniture,tables,dark slate gray accent table
furniture,tables,supercool rosy-brown coffee table
furniture,tables,incomparable saddle
furniture,tables,incomparable rosy-brown dining table
jewelry,bracelet,lovely bracelet women
jewelry,bracelet,appealing bracelet women
furniture,chairs,outstanding saddle
furniture,dressers,dresser one drawer
furniture,sofas,sumptuous black sofa
groceries,meat,beef organic
groceries,vegetables,yummy veggie must-
outdoors,fishing,trustworthy fishing lure
homedecor,cushion,light gray square cushion
homedecor,cushion,gray square cushion
groceries,bakery,yummy raisin bran cake
groceries,bakery,cinamon roll
groceries,bakery,croissant
outdoors,camping,camping
floral,arrangement,"daisies arrangement,organic farms"
floral,bouquet,wedding bouquet
footwear,sneaker,all-around venturesome
footwear,sneaker,swell pair yellow sneakers
furniture,chairs,dark slate
furniture,chairs,cool gainsboro
footwear,boot,pair brown boots
apparel,socks,game
footwear,sandals,swanky pair sandals
accessories,handbag,linen hue
accessories,handbag,sandy brown handbag
accessories,handbag,dark salmon
apparel,jacket,well-insulated casual jacket women
apparel,jacket,well-insulated casual coat women
accessories,bag,all-around convenient bag
apparel,scarf,dandyish
apparel,scarf,dapper
apparel,shirt,sassy light
books,cooking,"learn cook,italian cuisine"
electronics,computer,laptop computer computing
furniture,dressers,unrivaled white dresser lots drawers
furniture,dressers,unsurpassed dark slate gray dresser lots drawers
furniture,sofas,pale
furniture,sofas,ritzy gray sofa
homedecor,cushion,dark slate gray set cushion
homedecor,decorative,rattan basket
furniture,tables,funky tan accent table
furniture,tables,productivity
jewelry,bracelet,classy bracelet women
housewares,bowls,fancy wood bowl
beauty,grooming,"eyes,dazzle gloss,fizz"
beauty,grooming,no-nonsense blow-them-away classic
beauty,grooming,"lipstick,red - fiery translucent sheath"
groceries,bakery,delish pecan pie
homedecor,lighting,taper candle
furniture,chairs,"relax,comfy"
footwear,formal,salmon
apparel,shirt,light steel
beauty,bathing,rich soap
accessories,glasses,spiffy glasses
accessories,glasses,"edgy glasses,women"
accessories,glasses,cool glasses
apparel,jacket,cool seasons
apparel,jacket,well-insulated autumn coat men
apparel,shirt,supercool
accessories,backpack,pale pink
electronics,cable,indispensable cable
apparel,scarf,ultrachic scarf women
furniture,chairs,unequaled black
furniture,sofas,posh cadet blue sofa
instruments,percussion,"cymbal,perfect"
electronics,speaker,"high definition speakers,house"
housewares,bowls,splendid ceramic bowl
beauty,grooming,"his/her heart lipstick,him/her,whichever"
footwear,sneaker,"swell pair,gray sneakers"
footwear,sneaker,groovy pair blue sneakers
furniture,tables,trendy beige accent table
furniture,tables,outstanding white dining room
jewelry,bracelet,charming bracelet women
footwear,boot,incomparable
groceries,seafood,delicious octopus
outdoors,fishing,definitive fishing reel
homedecor,cushion,yellow set cushions
housewares,bowls,lovely ceramic
tools,axe,essential
accessories,watch,trendy watch men
apparel,jacket,gainsboro jacket women
accessories,glasses,"groovy glasses,men"
accessories,glasses,"ultracool glasses,men"
accessories,handbag,sienna handbag
accessories,handbag,gray dressy handbag
accessories,backpack,unicorn backpack
accessories,backpack,rust leather
apparel,shirt,sienna
footwear,formal,"pair,black formal shoes"
footwear,sandals,hip pair sandals men
furniture,sofas,fancy light gray sofa
instruments,strings,acoustic guitar
groceries,vegetables,tasty veggie must-
outdoors,fishing,
seasonal,halloween,sure order
food service,soup and salad,
jewelry,necklace,swanky necklace women
homedecor,decorative,ceramic vase
tools,drill,drill
electronics,television,television
footwear,sneaker,all-around bold pair
footwear,sneaker,supercool pair black sneakers
apparel,shirt,pale
apparel,socks,
apparel,socks,socks
apparel,socks,fashionable
beauty,bathing,fragrance sublime soap
beauty,grooming,must-have
footwear,formal,"pair,lavender formal shoes"
footwear,sandals,"sassy pair sandals,woman"
footwear,sandals,"pair sandals,woman"
accessories,belt,fashionable belt
accessories,glasses,supercool glasses
apparel,jacket,cool casual jacket women
apparel,jacket,well-insulated rain
accessories,backpack,pale gray backpack men
accessories,backpack,dark slate gray men
accessories,backpack,blue backpack
accessories,bag,black bag women
books,travel,"plan,next trip,reference book"
electronics,cable,handy cable
apparel,jacket,coat men
apparel,shirt,spiffy
apparel,shirt,casual
floral,arrangement,"carnations arrangement,farms"
housewares,bowls,neat metal
footwear,sneaker,all-around modish pair powder
footwear,sneaker,pair dark blue shoes
furniture,chairs,unrivaled black chair
furniture,tables,groovy sienna accent table
jewelry,bracelet,first-rate bracelet women
floral,wreath,"fall wreath,organic farms"
groceries,seafood,flavorful atlantic salmon
groceries,seafood,shrimp
outdoors,fishing,reliable fishing lure
homedecor,cushion,light gray rectangular cushion
accessories,watch,ultrachic
accessories,watch,groovy watch men
housewares,bowls,magnificent ceramic
accessories,glasses,
accessories,handbag,gainsboro handbag
groceries,fruits,fruit everyone
jewelry,necklace,sublime
outdoors,fishing,incomparable fishing lure
accessories,backpack,gainsboro backpack women
accessories,belt,groovy
accessories,belt,hip belt
apparel,socks,ultracool colorful socks
footwear,formal,"pair platform,heels"
footwear,formal,"pair,beige black formal shoes"
footwear,sandals,ultrachic pair slip-on
footwear,sandals,"spiffy pair sandals,woman"
footwear,sandals,"fashionable pair sandals,men"
instruments,microphone,accurate microphone
apparel,scarf,quintessential scarf
apparel,scarf,trendy scarf men
apparel,scarf,ultracool
apparel,scarf,funky scarf men
apparel,shirt,shirt
furniture,dressers,"ideal dresser,three drawers"
furniture,sofas,nice
floral,arrangement,"mixed arrangement,farms"
housewares,bowls,fancy ceramic bowl
apparel,shirt,easy-wearing comfy momfy
furniture,tables,fashionable dark slate gray accent table
furniture,tables,ideal
footwear,sneaker,pair gray sneakers
footwear,boot,pair sienna boots
groceries,meat,pork organic
outdoors,fishing,sure-fire easy use
homedecor,cushion,cadet blue square cushion
homedecor,decorative,easter basket
homedecor,decorative,wiker basket
apparel,jacket,pale gray jacket women
accessories,glasses,"ultrachic glasses,women"
accessories,glasses,funky
accessories,glasses,dapper glasses men
tools,saw,essential
groceries,bakery,flavorful chocolate cake
jewelry,earrings,fashionable earrings
jewelry,necklace,"swell necklace,everyday"
accessories,backpack,black backpack
accessories,belt,ultrachic belt
books,cooking,"learn cook,french cuisine"
footwear,formal,"pair,gold,heels"
footwear,sandals,dapper pair sandals
instruments,microphone,high fidelity microphone
electronics,headphones,pair headphones
furniture,sofas,unequaled
footwear,sneaker,dandyish pair black sneakers
apparel,shirt,supercool dressy white shirt
beauty,bathing,fragrance rich
footwear,formal,black formal shoes
footwear,formal,"pair,brown formal shoes"
footwear,formal,"pair,white,heels"
footwear,formal,"pair,dark green formal shoes"
groceries,seafood,delicious dungeness crab
homedecor,cushion,steel blue square cushion
tools,screwdriver,screwdriver
homedecor,lighting,jar candle must
accessories,glasses,glasses men
accessories,handbag,"supercool dark slate blue handbag,perfect accessory"
accessories,handbag,"casual sandy brown handbag,first-class"
accessories,watch,spiffy
apparel,scarf,supercool
apparel,shirt,matchless light
accessories,backpack,yellow
instruments,keys,grand piano
electronics,computer,desktop
footwear,sneaker,all-around venturous pair
footwear,formal,strappy heels
footwear,sandals,"edgy pair sandals,woman"
furniture,tables,
jewelry,bracelet,refined bracelet women
housewares,bowls,stylish ceramic bowl
housewares,bowls,superb ceramic bowl
tools,screwdriver,essential screwdriver
food service,nachos,best nachos
groceries,bakery,tasty strawberry chocolate cake
jewelry,earrings,swanky earrings
outdoors,fishing,unsurpassed
outdoors,fishing,"foolproof,easy"
seasonal,valentine,must-have
groceries,seafood,tasty shrimp
outdoors,kayaking,explore waterways
outdoors,kayaking,intrepid kayak
homedecor,cushion,rosy-brown rectangular cushion
accessories,handbag,"hip rust leather,perfect accessory"
accessories,watch,dandyish men
apparel,jacket,well-insulated seasons
apparel,jacket,
apparel,shirt,white
apparel,shirt,first-class gainsboro
furniture,dressers,dresser lots drawers
furniture,dressers,outstanding dresser lots drawers
furniture,sofas,upscale dark sea green
accessories,backpack,dark slate gray backpack
books,cooking,"learn cook,japanese cuisine"
electronics,cable,convenient cable
footwear,sneaker,pink sneakers
footwear,sneaker,all-around voguish
furniture,chairs,leather
furniture,chairs,outstanding white chair
furniture,chairs,soft peru
apparel,shirt,black casual
apparel,shirt,casual shirt men
apparel,shirt,
apparel,socks,supercool colorful socks
footwear,sandals,"supercool pair sandals,woman"
furniture,tables,ideal black dining table
instruments,wind,flute delight
jewelry,bracelet,magnificent bracelet women
housewares,bowls,refined wood bowl
beauty,grooming,"perfect,different shades,palette,4 different shades"
groceries,bakery,yummy keylime pie
jewelry,earrings,edgy earrings women
jewelry,earrings,"groovy earrings,women"
jewelry,necklace,hip
jewelry,necklace,trendy
homedecor,lighting,decorative candle
tools,drill,essential
accessories,glasses,ultracool glasses
apparel,scarf,"spiffy,scarf women"
apparel,shirt,supercool crop
apparel,shirt,swanky
furniture,dressers,"unrivaled dresser lots,drawers"
footwear,sneaker,"vibrant,black sneakers"
footwear,sneaker,boisterous pair maroon sneakers
furniture,chairs,light
apparel,socks,plush
footwear,sandals,slip-on pair
furniture,tables,definitive
housewares,salon,
outdoors,camping,tent
tools,plier,plier
groceries,seafood,delicious shrimp
outdoors,fishing,reliable easy use
outdoors,pet,dog
seasonal,christmas,favorite
homedecor,cushion,powder blue rectangular cushion
homedecor,cushion,cushion
accessories,glasses,funky glasses men
accessories,handbag,light pink handbag
accessories,watch,"ultrahip,women"
apparel,shirt,sassy black casual shirt
apparel,shirt,red casual
furniture,sofas,ritzy white sofa
furniture,sofas,unrivaled
accessories,backpack,"black men,backpack"
accessories,backpack,dark olive green backpack
accessories,bag,
accessories,belt,funky belt women
accessories,belt,groovy belt women
books,travel,"plan,next trip"
electronics,headphones,faultless pair headphones
electronics,speaker,"faultless speakers,house"
floral,bouquet,"wedding bouquet,farms"
footwear,sneaker,"swell,dark slate gray sneakers"
furniture,chairs,definitive
apparel,socks,groovy
beauty,bathing,relax
footwear,formal,pair crimson formal shoes
footwear,formal,pair brown leather formal shoes
footwear,formal,pair light gray formal shoes
furniture,tables,fashionable white accent table
furniture,tables,unequaled white dining room
groceries,bakery,bagel
jewelry,bracelet,sans pareil bracelet women
jewelry,bracelet,swell
housewares,bowls,elegant ceramic bowl
groceries,bakery,bread
tools,hammer,essential
accessories,glasses,fashionable glasses
accessories,glasses,fashionable glasses men
accessories,handbag,leather handbag
groceries,meat,chicken
outdoors,kayaking,bold kayak
homedecor,cushion,dark olive green rectangular cushion
homedecor,cushion,white rectangular cushion
homedecor,cushion,blue checkered square cushion
homedecor,cushion,light steel blue square cushion
accessories,watch,"funky,women"
apparel,jacket,warm casual leather
apparel,scarf,funky
apparel,shirt,sassy crimson casual shirt
apparel,shirt,casual outfit
accessories,backpack,"sienna men,backpack"
accessories,backpack,dark olive green backpack men
accessories,belt,swanky belt women
accessories,belt,dapper belt occasions
instruments,strings,acoustic bass
books,travel,"plan,next trip,reference"
footwear,boot,edgy sienna boots
footwear,formal,heels
footwear,sneaker,modish pair blue sneakers
footwear,sneaker,all-around intrepid
furniture,chairs,definitive dark slate
apparel,socks,performance socks
apparel,socks,cool colorful socks
footwear,sandals,"ultrachic pair sandals,woman"
furniture,tables,swell golden accent table
furniture,tables,unsurpassed
instruments,strings,violin
instruments,wind,saxophone perfect
jewelry,bracelet,sublime bracelet women
housewares,bowls,chic ceramic
beauty,grooming,his/her heart talons
beauty,grooming,"strong,plastic containers,bright stylings"
electronics,camera,"video,spy"
cold dispensed,fountain-carbonated,16oz fountain soda
groceries,dairy,yogurt
groceries,fruits,delicious fruit everyone
jewelry,earrings,earrings men
jewelry,necklace,first-rate necklace
homedecor,lighting,jar candle
accessories,belt,trendy belt
accessories,glasses,"hip,glasses"
accessories,glasses,trendy glasses
homedecor,cushion,blue cushion
accessories,watch,"swell,men"
accessories,watch,swell watch men
apparel,jacket,warm seasons
furniture,dressers,"unparalleled turquoise dresser,three drawers"
furniture,sofas,fancy black sofa
furniture,sofas,sumptuous pale gray
accessories,backpack,"dark slate gray men,backpack"
accessories,backpack,white backpack
accessories,bag,leather bag women
electronics,cable,"high quality cabling,definitive electronics home"
electronics,cable,"high quality cabling,unequaled electronics home"
electronics,speaker,"high fidelity speakers,house"
floral,arrangement,mixed arrangement
footwear,boot,
footwear,sneaker,groovy pair gray sneakers
furniture,chairs,groovy
furniture,chairs,chair
apparel,socks,fashionable colorful socks
footwear,formal,light slate
footwear,formal,pair saddle brown formal shoes
furniture,tables,unrivaled dark
furniture,tables,wooden dining room
instruments,wind,french horn
jewelry,bracelet,bracelet men
housewares,bowls,sophisticated ceramic
beauty,grooming,"20s,fashion,20s"
jewelry,necklace,trendy necklace women
outdoors,fishing,fishing
outdoors,fishing,foolproof fishing lure
accessories,belt,cool belt
accessories,handbag,dark slate blue dressy handbag
groceries,seafood,tasty oysters
homedecor,cushion,gray rectangular cushion
accessories,watch,"dapper,men"
apparel,jacket,cool casual denim women
apparel,jacket,cool casual jacket men
apparel,scarf,flawless
apparel,scarf,cool
apparel,shirt,supercool blue sea
accessories,bag,blue striped bag women
accessories,belt,trendy
accessories,belt,ultracool belt
furniture,chairs,unsurpassed
books,cooking,"learn cook,indonesian cuisine"
floral,arrangement,roses arrangement
floral,arrangement,"tulips arrangement,organic farms"
footwear,formal,white formal shoes
footwear,sneaker,all-around fashionable pair
furniture,chairs,cool dark khaki
beauty,grooming,nifty makeup brush kit
beauty,grooming,makeup brushes
beauty,grooming,brush teeth meal
furniture,tables,unequaled
housewares,bowls,stylish metal bowl
tools,set,essential
groceries,bakery,flavorful tree layer chocolate cake
groceries,dairy,milk fresh
outdoors,fishing,dependable easy use
housewares,bowls,sophisticated aluminum
tools,hammer,hammer
accessories,glasses,groovy glasses men
accessories,handbag,"trendy burlywood handbag,perfect accessory"
accessories,handbag,saddle brown
groceries,vegetables,delicious veggie must-
homedecor,clock,alarm clock
outdoors,kayaking,waterways
outdoors,kayaking,venturous kayak
homedecor,cushion,pale gray square cushion
seasonal,easter,favorite
seasonal,easter,must-have april
accessories,handbag,all-around
accessories,watch,cool men
apparel,jacket,well-insulated casual jacket men
apparel,scarf,groovy
accessories,bag,"black bag women,-rate"
furniture,dressers,"unrivaled dark olive green dresser,three drawers"
furniture,dressers,unsurpassed dark gray dresser lots drawers
furniture,sofas,upscale sienna sofa
furniture,sofas,comfy
instruments,microphone,high definition microphone
instruments,percussion,drumset delight
electronics,camera,video camera amateurs
electronics,keyboard,keyboard
electronics,speaker,"accurate speakers,house"
footwear,sneaker,all-around supercool
footwear,sneaker,all-around trendy
apparel,shirt,dark khaki casual shirt
beauty,bathing,fragrance luxurious soap
beauty,bathing,organic soap everyday
footwear,formal,pair
footwear,boot,saddle brown boots
furniture,tables,outstanding light
furniture,tables,unsurpassed dark olive green
beauty,grooming,"lipstick,thing mirror"
beauty,grooming,shade blue
beauty,grooming,"awe,mystery"
hot dispensed,hot chocolate,
groceries,fruits,flavorful fruit everyone
groceries,fruits,yummy fruit everyone
outdoors,camping,camping lamp
outdoors,fishing,trusty fishing hooks
homedecor,decorative,frame must
homedecor,decorative,glass vase
outdoors,kayaking,paddle
outdoors,pet,pet
accessories,handbag,casual pale gray handbag
accessories,handbag,red handbag
accessories,handbag,cadet blue dressy
accessories,watch,supercool
furniture,chairs,incomparable white
furniture,sofas,black sofa
accessories,backpack,gray backpack women
furniture,chairs,productivity
footwear,formal,"pair,red platform heels"
beauty,bathing,
footwear,formal,hot pink formal shoes
housewares,bowls,appealing ceramic
food service,other cuisine,"lentils potatos,carrots spices,joy palate"
groceries,bakery,cookie
jewelry,necklace,ultrachic necklace women
outdoors,fishing,incomparable fishing
furniture,tables,definitive light
furniture,tables,unrivaled wooden dining room
instruments,wind,trumpet
outdoors,pet,"frisbee,dog"
homedecor,cushion,pale gray rectangular cushion
accessories,handbag,"funky tan,perfect accessory"
accessories,watch,ultracool watch men
apparel,shirt,"trendy gainsboro,shirt"
apparel,shirt,pale gray
furniture,sofas,rich yellow sofa
accessories,belt,fashionable
footwear,sneaker,"ultrachic pair,red sneakers"
footwear,sneaker,"swell,pair white sneakers"
furniture,chairs,swanky
apparel,shirt,trendy dressy shirt
footwear,formal,"pair,heels"
footwear,formal,"pair,thistle-purple formal shoes"
footwear,sandals,trendy pair sandals
floral,wreath,"christmas wreath,organic farms"
footwear,boot,gray boots
footwear,boot,dark brown boots
beauty,grooming,"stylish yellow, guaranteed stay,sauna car"
beauty,grooming,hairs
food service,sandwiches/wraps,"exotic healthy, grape-vine leaves,stuffed rice"
groceries,bakery,triple chocolate cake
groceries,bakery,yummy walnut pie
jewelry,earrings,trendy earrings
outdoors,fishing,inflatable
outdoors,fishing,easy
outdoors,fishing,outstanding fishing
homedecor,lighting,table lamp
housewares,bowls,magnificent ceramic bowl
furniture,tables,groovy gray coffee table
instruments,wind,saxophone delight
jewelry,bracelet,flawless bracelet women
accessories,glasses,hip glasses men
accessories,handbag,peru-orange dressy handbag
furniture,dressers,"unequaled white dresser,two drawers"
furniture,dressers,"unsurpassed dark slate gray dresser,three drawers"
furniture,dressers,"definitive dark slate gray dresser,three drawers"
furniture,sofas,sublime saddle brown sofa
instruments,keys,keyboard
electronics,cable,"high quality,unrivaled electronics home"
electronics,camera,camera amateurs professonals
accessories,backpack,dark olive green backpack women
accessories,backpack,"dark slate,backpack"
accessories,belt,women
electronics,speaker,faultless speakers
footwear,sandals,"ultracool pair sandals,men"
